field.header.stamp,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
1624346685,0.178638202,83.33911401,-29.89114965,1,-2.166748047,0.549316406,-0.640869141,-0.36328125,-0.114257813,0.938232422
1624346687,0.178638202,85.13135302,-31.61896177,1,-2.075195313,0.701904297,-0.9765625,-0.359863281,-0.113525391,0.936035156
1624346690,0.535914606,83.69756181,-31.96452419,1,-2.380371094,0.457763672,-0.854492188,-0.362548828,-0.115234375,0.940185547
1624346693,-5.18050786,75.45326236,-11.92190362,1,-2.319335938,3.723144531,0.518798828,-0.240966797,-0.150390625,0.981933594
1624346695,-8.038719093,71.51033654,-9.502966651,1,-0.457763672,1.312255859,-1.586914063,-0.223388672,-0.13671875,0.977539063
1624346698,-7.324166285,71.86878434,-10.1940915,1,-1.770019531,1.800537109,-0.671386719,-0.229248047,-0.12109375,0.977050781
1624346701,4.108678648,84.77290522,-33.00121146,1,-2.105712891,1.037597656,-0.48828125,-0.308349609,-0.114501953,0.953857422
1624346704,3.572764042,84.23523352,-32.1373054,1,-1.983642578,0.793457031,-0.854492188,-0.310058594,-0.113525391,0.957519531
1624346706,3.036849435,84.77290522,-33.00121146,1,-1.831054688,1.220703125,-0.610351563,-0.312255859,-0.112548828,0.956787109
1624346709,4.644593254,85.66902473,-32.48286783,1,-1.46484375,0.946044922,-0.610351563,-0.311767578,-0.117431641,0.952636719
1624346712,3.572764042,83.15989011,-33.17399267,1,-2.868652344,2.197265625,0.335693359,-0.275878906,-0.134765625,0.985351563
1624346714,3.394125839,85.48980082,-32.65564904,1,-1.800537109,0.854492188,-0.396728516,-0.317382813,-0.1171875,0.955078125
1624346717,3.572764042,85.31057692,-31.44618056,1,-1.708984375,0.640869141,-0.549316406,-0.320556641,-0.116943359,0.958740234
1624346720,4.465955052,84.77290522,-33.69233631,1,-2.075195313,0.823974609,-0.671386719,-0.316650391,-0.114013672,0.963867188
1624346722,3.751402244,84.77290522,-33.00121146,1,-1.800537109,0.854492188,-0.549316406,-0.322753906,-0.119628906,0.9609375
1624346725,4.644593254,84.95212912,-32.48286783,1,-1.617431641,0.610351563,-1.159667969,-0.314697266,-0.117431641,0.967773438
1624346728,3.751402244,86.20669643,-33.00121146,1,-1.556396484,0.854492188,-0.549316406,-0.3125,-0.115722656,0.948974609
1624346730,4.823231456,85.13135302,-33.00121146,1,-4.119873047,2.899169922,-1.861572266,-0.319824219,-0.110595703,0.915283203
1624346733,3.215487637,83.87678571,-33.5195551,1,-1.922607422,1.190185547,-0.579833984,-0.323242188,-0.118164063,0.95703125
1624346736,4.28731685,85.31057692,-32.82843025,1,-2.044677734,0.946044922,-0.885009766,-0.314697266,-0.116210938,0.952148438
1624346738,2.858211233,83.15989011,-32.82843025,1,-1.617431641,0.793457031,-0.9765625,-0.319580078,-0.115234375,0.953125
1624346741,2.679573031,85.13135302,-32.65564904,1,-2.105712891,1.159667969,-0.48828125,-0.320068359,-0.112304688,0.953369141
1624346744,4.465955052,84.41445742,-33.69233631,1,-1.892089844,0.915527344,-0.610351563,-0.324951172,-0.115234375,0.961425781
1624346747,5.537784264,84.05600962,-34.38346116,1,-1.800537109,1.373291016,-0.549316406,-0.323486328,-0.111816406,0.961181641
1624346749,7.145528083,84.59368132,-34.21067995,1,-1.434326172,0.854492188,-0.793457031,-0.322265625,-0.114257813,0.951660156
1624346752,6.430975275,84.95212912,-34.21067995,1,-2.166748047,0.946044922,-1.037597656,-0.321289063,-0.113769531,0.94921875
1624346755,6.252337073,84.41445742,-33.00121146,1,-1.831054688,0.48828125,-1.007080078,-0.315917969,-0.115722656,0.954101563
